town,ticket_1,ticket_2,distance,rank
屏東縣獅子鄉,296,2106,47.5319,350
臺東縣達仁鄉,209,1524,48.1925,351
屏東縣泰武鄉,310,2442,49.3172,352
連江縣東引鄉,52,524,49.8288,353
宜蘭縣南澳鄉,269,2449,50.111,354
連江縣南竿鄉,273,2691,50.8431,355
金門縣金寧鄉,732,6589,51.0638,356
金門縣金湖鎮,806,7740,51.4078,357
臺東縣海端鄉,155,1527,51.9872,358
花蓮縣卓溪鄉,219,2221,52.086,359
金門縣金城鎮,1118,11611,52.5739,360
連江縣莒光鄉,30,459,52.8133,361
屏東縣春日鄉,208,2188,52.9751,362
連江縣北竿鄉,63,833,53.8659,363
金門縣烏坵鄉,9,94,54.2415,364
屏東縣來義鄉,298,3644,54.5089,365
臺東縣金峰鄉,108,1625,56.01,366
金門縣金沙鎮,353,5619,56.6267,367
金門縣烈嶼鄉,175,3023,57.4297,368
