town,vote_1,vote_2,vote_3,distance,rank
臺南市歸仁區,19.1263%,71.7159%,9.1579%,19.9681,269
苗栗縣三義鄉,41.9624%,40.1389%,17.8986%,20.0071,270
臺南市下營區,19.713%,72.0623%,8.2247%,20.0938,271
新北市新店區,45.5715%,42.2495%,12.179%,20.0996,272
臺南市白河區,19.873%,72.1658%,7.9612%,20.1488,273
臺南市佳里區,19.2917%,72.047%,8.6613%,20.2275,274
臺南市新市區,18.7628%,71.8899%,9.3473%,20.2884,275
臺南市善化區,19.1211%,72.0493%,8.8296%,20.295,276
新竹縣湖口鄉,38.08%,39.4987%,22.4213%,20.436,277
屏東縣崁頂鄉,20.213%,72.5336%,7.2534%,20.4411,278
屏東縣萬巒鄉,21.06%,72.7169%,6.2231%,20.4656,279
高雄市旗津區,19.0333%,72.1902%,8.7765%,20.4676,280
臺南市安南區,17.8827%,71.6574%,10.4599%,20.4985,281
臺南市北門區,18.9525%,72.3945%,8.653%,20.7002,282
臺南市鹽水區,18.8426%,72.4361%,8.7212%,20.7836,283
臺南市大內區,18.3037%,72.2001%,9.4962%,20.7837,284
屏東縣里港鄉,19.0428%,72.835%,8.1223%,21.1088,285
新竹縣北埔鄉,36.9243%,39.1101%,23.9657%,21.1599,286
臺東縣太麻里鄉,44.0116%,39.4767%,16.5116%,21.4183,287
花蓮縣吉安鄉,44.6124%,39.714%,15.6736%,21.4801,288
花蓮縣壽豐鄉,45.6678%,40.2357%,14.0965%,21.6301,289
臺南市安定區,18.3999%,73.1512%,8.4489%,21.6591,290
苗栗縣苗栗市,44.2471%,39.3229%,16.43%,21.667,291
臺南市後壁區,18.4987%,73.257%,8.2442%,21.7275,292
臺南市六甲區,17.9319%,73.183%,8.8851%,21.8771,293
南投縣信義鄉,44.6754%,38.8074%,16.5173%,22.3422,294
屏東縣枋山鄉,20.763%,74.3754%,4.8616%,22.4172,295
苗栗縣頭屋鄉,45.0122%,38.7592%,16.2286%,22.5411,296
雲林縣水林鄉,16.8027%,73.356%,9.8413%,22.556,297
花蓮縣花蓮市,46.3697%,39.4998%,14.1305%,22.6472,298
嘉義縣新港鄉,18.2603%,74.1264%,7.6133%,22.6907,299
嘉義縣溪口鄉,17.858%,74.1832%,7.9587%,22.8882,300
屏東縣新園鄉,17.8822%,74.214%,7.9037%,22.9104,301
臺東縣關山鎮,46.321%,38.5703%,15.1087%,23.3805,302
臺南市學甲區,17.386%,74.802%,7.8119%,23.6798,303
苗栗縣銅鑼鄉,45.4705%,37.629%,16.9005%,23.8043,304
臺南市官田區,16.7862%,75.3502%,7.8636%,24.4486,305
屏東縣九如鄉,17.2514%,75.6035%,7.1452%,24.539,306
新竹縣竹東鎮,38.885%,36.1736%,24.9414%,24.614,307
屏東縣高樹鄉,17.8317%,75.8611%,6.3072%,24.6343,308
嘉義縣阿里山鄉,46.8924%,37.3307%,15.7769%,24.7581,309
新竹縣橫山鄉,41.8769%,35.7472%,22.3759%,24.9684,310
花蓮縣富里鄉,47.9134%,37.5586%,14.528%,25.1413,311
雲林縣二崙鄉,16.8453%,76.1537%,7.001%,25.2375,312
臺中市和平區,39.2072%,35.2809%,25.5119%,25.7206,313
臺南市西港區,16.1691%,76.4632%,7.3677%,25.7863,314
臺南市七股區,15.8995%,76.443%,7.6575%,25.8673,315
苗栗縣南庄鄉,44.7662%,34.6394%,20.5944%,26.645,316
苗栗縣獅潭鄉,47.3621%,35.4916%,17.1463%,26.6549,317
花蓮縣鳳林鎮,50.2594%,37.0549%,12.6856%,27.0719,318
花蓮縣新城鄉,48.0871%,35.2145%,16.6984%,27.2494,319
苗栗縣西湖鄉,47.0765%,34.7076%,18.2159%,27.2866,320
臺南市將軍區,15.4514%,77.7097%,6.839%,27.2971,321
花蓮縣玉里鎮,48.9995%,35.3058%,15.6946%,27.6392,322
臺南市麻豆區,14.8381%,78.0966%,7.0654%,27.9073,323
花蓮縣瑞穗鄉,50.3667%,34.8505%,14.7828%,28.8043,324
桃園市復興區,49.1036%,32.8412%,18.0553%,29.9232,325
臺東縣東河鄉,50.6842%,32.2895%,17.0263%,31.1659,326
臺東縣成功鎮,50.8961%,29.9368%,19.1671%,33.4643,327
臺東縣長濱鄉,53.6109%,31.002%,15.3871%,33.8651,328
臺東縣大武鄉,52.8211%,30.2521%,16.9268%,34.0627,329
花蓮縣光復鄉,54.4304%,29.6332%,15.9364%,35.4718,330
高雄市那瑪夏區,55.9573%,30.6491%,13.3936%,35.6363,331
高雄市桃源區,51.7097%,27.8344%,20.4559%,35.8513,332
花蓮縣秀林鄉,49.3096%,27.1556%,23.5348%,35.8761,333
新竹縣尖石鄉,40.346%,24.7265%,34.9275%,39.497,334
苗栗縣泰安鄉,42.8033%,24.0101%,33.1867%,39.7921,335
臺東縣綠島鄉,49.4455%,22.8281%,27.7264%,40.8499,336
南投縣仁愛鄉,51.2652%,22.5483%,26.1866%,41.4035,337
屏東縣霧臺鄉,58.8775%,24.123%,16.9995%,42.615,338
新竹縣五峰鄉,36.1839%,23.7241%,40.092%,42.6453,339
宜蘭縣大同鄉,40.5548%,21.9452%,37.5%,43.2037,340
金門縣金寧鄉,60.4456%,22.3193%,17.235%,45.0166,341
屏東縣三地門鄉,60.2964%,21.6403%,18.0634%,45.52,342
屏東縣獅子鄉,54.8941%,19.2968%,25.809%,45.7511,343
屏東縣牡丹鄉,49.9108%,18.7333%,31.3559%,45.7899,344
花蓮縣豐濱鄉,63.1959%,23.3505%,13.4536%,45.9153,345
澎湖縣七美鄉,19.5496%,30.8086%,49.6418%,46.1202,346
花蓮縣萬榮鄉,60.932%,20.8544%,18.2136%,46.5411,347
屏東縣泰武鄉,54.8238%,18.1559%,27.0203%,46.9896,348
臺東縣延平鄉,63.6247%,21.5296%,14.8458%,47.5634,349
臺東縣蘭嶼鄉,29.4299%,23.0354%,47.5347%,47.9678,350
屏東縣瑪家鄉,60.7816%,19.0329%,20.1855%,48.1038,351
臺東縣海端鄉,61.6359%,19.4124%,18.9516%,48.1758,352
連江縣東引鄉,59.2742%,16.5323%,24.1935%,49.9325,353
宜蘭縣南澳鄉,50.7836%,15.1866%,34.0299%,50.1434,354
高雄市茂林區,64.4693%,18.5475%,16.9832%,50.4616,355
金門縣金湖鎮,64.9078%,18.5172%,16.5751%,50.744,356
屏東縣來義鄉,64.05%,17.7%,18.25%,50.9414,357
屏東縣春日鄉,57.6592%,14.1136%,28.2272%,52.0566,358
連江縣莒光鄉,64.2424%,16.1616%,19.596%,52.39,359
金門縣金城鎮,66.8897%,17.8085%,15.3019%,52.5265,360
臺東縣達仁鄉,69.0476%,16.2162%,14.7362%,55.1406,361
連江縣南竿鄉,70.2804%,16.9346%,12.785%,55.4555,362
花蓮縣卓溪鄉,69.3124%,14.3463%,16.3413%,56.7633,363
金門縣金沙鎮,70.2713%,14.6914%,15.0373%,57.0986,364
連江縣北竿鄉,71.4464%,15.4613%,13.0923%,57.3225,365
金門縣烈嶼鄉,73.2648%,12.0501%,14.6851%,61.0614,366
臺東縣金峰鄉,71.3683%,10.006%,18.6257%,61.5333,367
金門縣烏坵鄉,79.0123%,14.8148%,6.1728%,63.6546,368
